Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio,
2016-09-05,0.000,0.000,0.000,67.770,0,N/A,N/A
2016-09-02,67.690,67.930,67.435,67.770,2112933,59.9730,20.3274,
2016-09-01,67.240,67.530,67.070,67.440,2249832,59.6810,20.2284,
2016-08-31,66.510,66.535,66.135,66.280,3864794,58.6550,19.8805,
2016-08-30,66.420,66.670,66.195,66.500,3416429,58.8500,19.9465,
2016-08-29,66.240,66.280,65.900,66.160,1090009,58.5490,19.8445,
2016-08-26,66.810,67.150,66.020,66.420,886489,58.7790,19.9225,
2016-08-25,66.790,66.880,66.560,66.730,407933,59.0530,20.0155,
2016-08-24,67.040,67.210,66.810,66.870,689650,59.1770,20.0575,
2016-08-23,66.840,66.910,66.640,66.820,1146086,59.1330,20.0425,
2016-08-22,66.290,66.580,66.240,66.460,1382924,58.8140,19.9345,
2016-08-19,66.010,66.300,65.910,66.270,820984,58.6460,19.8775,
2016-08-18,66.430,66.680,66.380,66.640,610966,58.9730,19.9885,
2016-08-17,65.840,66.115,65.670,66.000,956112,58.4070,19.7965,
2016-08-16,65.510,65.930,65.500,65.890,1384198,58.3100,19.7635,
2016-08-15,65.140,65.210,64.950,65.070,1163856,57.5840,19.5175,
2016-08-12,65.690,65.690,65.030,65.230,1528431,57.7260,19.5655,
2016-08-11,65.650,65.710,65.500,65.570,878383,58.0270,19.6675,
2016-08-10,66.000,66.030,65.600,65.650,869028,58.0970,19.6915,
2016-08-09,65.530,65.790,65.520,65.650,1207880,58.0970,19.6915,
2016-08-08,65.860,66.010,65.824,65.850,968631,58.2740,19.7515,
2016-08-05,65.860,66.110,65.830,66.100,1242134,58.4960,19.8265,
2016-08-04,66.430,66.550,66.170,66.330,1611090,58.6990,19.8955,
2016-08-03,67.300,67.490,67.150,67.260,3096024,59.5220,20.1744,
2016-08-02,66.650,66.860,66.560,66.700,4898340,59.0270,20.0065,
2016-08-01,66.160,66.260,66.000,66.120,3611933,58.5130,19.8325,
2016-07-29,66.220,66.740,66.000,66.360,4066590,58.7260,19.9045,
2016-07-28,65.830,66.040,65.750,65.920,1353765,58.3360,19.7725,
2016-07-27,65.920,66.380,65.690,66.200,1946502,59.1070,20.2855,
2016-07-26,66.000,66.350,65.840,66.230,1515390,59.1340,20.2947,
2016-07-25,66.060,66.285,66.020,66.200,1018386,59.1070,20.2855,
2016-07-22,65.810,66.040,65.705,66.030,1761606,58.9550,20.2334,
2016-07-21,66.340,66.490,66.030,66.160,5276708,59.0710,20.2732,
2016-07-20,65.750,66.320,65.660,66.300,7336214,59.1960,20.3161,
2016-07-19,65.750,65.920,65.190,65.290,23327796,58.2950,20.0066,
2016-07-18,67.180,67.480,65.480,66.170,41208248,59.0800,20.2763,
2016-07-15,46.910,47.220,46.770,47.080,1168030,42.0360,14.4266,
2016-07-14,47.730,47.740,47.075,47.440,1857730,42.3570,14.5369,
2016-07-13,46.900,47.315,46.740,46.780,1422981,41.7680,14.3347,
2016-07-12,46.620,46.755,46.230,46.730,1638865,41.7230,14.3194,
2016-07-11,45.910,46.400,45.860,46.320,1406906,41.3570,14.1937,
2016-07-08,44.930,45.449,44.740,45.400,1570441,40.5360,13.9118,
2016-07-07,44.190,44.250,43.570,43.780,1780674,39.0890,13.4154,
2016-07-06,43.820,43.860,43.320,43.620,3120073,38.9460,13.3664,
2016-07-05,44.320,44.800,44.250,44.480,1565143,39.7140,13.6299,
2016-07-04,0.000,0.000,0.000,45.090,0,N/A,N/A
2016-07-01,44.600,45.290,44.580,45.090,1266902,40.2590,13.8168,
2016-06-30,44.550,45.520,44.300,45.510,1852753,40.6340,13.9455,
2016-06-29,43.750,44.250,43.590,44.040,2024077,39.3210,13.4951,
2016-06-28,42.240,42.870,41.990,42.620,2122293,38.0540,13.0599,
2016-06-27,41.710,41.830,40.480,40.990,4460656,36.5980,12.5605,
2016-06-24,43.390,45.250,43.270,44.060,5837856,39.3390,13.5012,
2016-06-23,45.520,45.600,44.880,45.460,2086558,40.5890,13.9302,
2016-06-22,45.090,45.310,44.550,44.590,1833418,39.8120,13.6636,
2016-06-21,44.360,45.000,44.260,44.870,2680113,40.0620,13.7494,
2016-06-20,44.060,44.440,43.825,44.000,3874741,39.2860,13.4828,
2016-06-17,41.940,42.170,41.410,41.960,2098594,37.4640,12.8577,
2016-06-16,41.000,41.910,40.850,41.890,1583160,37.4020,12.8362,
2016-06-15,41.650,41.840,41.320,41.440,1466878,37.0000,12.6984,
2016-06-14,40.650,41.350,40.560,41.210,2875200,36.7950,12.6279,
2016-06-13,40.400,41.220,40.190,40.890,3196898,36.5090,12.5298,
2016-06-10,42.120,42.170,40.410,40.960,4235017,36.5710,12.5513,
2016-06-09,42.970,43.260,42.900,43.050,996132,38.4370,13.1917,
2016-06-08,43.550,43.790,43.270,43.460,1025280,38.8040,13.3173,
2016-06-07,44.000,44.310,43.860,44.180,980280,39.4460,13.5380,
2016-06-06,43.500,43.760,43.330,43.510,1489073,38.8480,13.3327,
2016-06-03,43.170,43.275,42.820,43.140,953002,38.5180,13.2193,
2016-06-02,42.460,42.840,42.420,42.750,918163,38.1700,13.0998,
2016-06-01,41.890,42.615,41.800,42.540,1463605,37.9820,13.0354,
2016-05-31,43.360,43.460,42.820,43.100,1017567,38.4820,13.2070,
2016-05-30,0.000,0.000,0.000,43.090,0,N/A,N/A
2016-05-27,42.790,43.160,42.740,43.090,1122209,38.4730,13.2040,
2016-05-26,43.210,43.250,42.850,43.130,1148900,38.5090,13.2162,
2016-05-25,42.870,43.130,42.680,42.910,1092135,38.3120,13.1488,
2016-05-24,41.860,42.820,41.840,42.740,1618726,38.1610,13.0967,
2016-05-23,41.840,42.250,41.460,41.600,2298416,37.1430,12.7474,
2016-05-20,40.700,41.160,40.640,40.820,1413575,36.4460,12.5084,
2016-05-19,40.910,40.920,40.270,40.550,2059186,36.2050,12.4256,
2016-05-18,40.680,41.480,40.580,41.060,2666778,36.6610,12.5819,
2016-05-17,40.450,40.510,39.770,39.890,1520271,35.6160,12.2234,
2016-05-16,40.250,40.480,40.100,40.240,1729574,35.9290,12.3306,
2016-05-13,39.440,39.710,39.310,39.430,1742777,35.2050,12.0824,
2016-05-12,40.870,40.880,39.205,39.430,2617247,35.2050,12.0824,
2016-05-11,40.800,41.070,40.640,40.670,1500172,36.3120,12.4624,
2016-05-10,41.020,41.450,40.830,41.180,1681068,36.7680,12.6187,
2016-05-09,41.190,41.370,40.990,41.050,1490657,36.6520,12.5788,
2016-05-06,40.420,40.710,40.070,40.660,1460807,36.3040,12.4593,
2016-05-05,40.460,41.030,40.335,40.650,1512405,36.2950,12.4563,
2016-05-04,40.690,40.750,40.140,40.320,1318455,36.0000,12.3552,
2016-05-03,41.330,41.370,40.555,40.860,1905673,36.4820,12.5206,
2016-05-02,41.260,41.390,40.860,41.130,1078174,36.7230,12.6034,
2016-04-29,41.880,41.920,40.920,41.190,2870757,36.7770,12.6217,
2016-04-28,41.660,42.240,41.220,41.310,1528916,36.8840,12.6585,
2016-04-27,41.340,41.995,41.160,41.900,2743534,37.4110,12.8393,
2016-04-26,40.190,40.765,40.162,40.740,1643828,36.3750,12.4839,
2016-04-25,40.330,40.510,39.820,40.030,1806525,35.7410,12.2663,
2016-04-22,40.050,40.480,39.930,40.250,1400650,35.9380,12.3337,
2016-04-21,40.580,40.590,39.820,40.080,1503068,35.7860,12.2816,
2016-04-20,41.850,42.180,40.445,40.980,3223896,36.9190,13.0138,
2016-04-19,41.450,42.315,41.280,42.160,4207424,37.9820,13.3885,
2016-04-18,40.840,41.125,40.695,40.840,2879707,36.7930,12.9693,
2016-04-15,42.010,42.250,41.850,41.950,1656902,37.7930,13.3218,
2016-04-14,43.310,43.340,42.540,42.610,2035812,38.3870,13.5314,
2016-04-13,44.080,44.320,43.836,44.220,1394752,39.8380,14.0427,
2016-04-12,43.830,43.930,43.250,43.690,1201166,39.3600,13.8744,
2016-04-11,44.050,44.480,43.750,43.770,811432,39.4320,13.8998,
2016-04-08,44.160,44.300,43.860,44.060,837074,39.6940,13.9919,
2016-04-07,43.990,44.250,43.600,43.750,1058571,39.4140,13.8935,
2016-04-06,43.200,44.035,42.990,43.980,988360,39.6220,13.9665,
2016-04-05,43.460,43.640,43.160,43.280,775780,38.9910,13.7442,
2016-04-04,44.300,44.300,43.810,43.880,935780,39.5320,13.9347,
2016-04-01,43.380,43.990,43.290,43.950,997403,39.5950,13.9570,
2016-03-31,43.760,43.970,43.660,43.690,1096521,39.3600,13.8744,
2016-03-30,44.130,44.310,43.885,44.100,914071,39.7300,14.0046,
2016-03-29,42.820,43.870,42.690,43.720,936936,39.3870,13.8839,
2016-03-28,42.770,42.860,42.350,42.660,770266,38.4320,13.5473,
2016-03-25,0.000,0.000,0.000,42.690,0,N/A,N/A
2016-03-24,42.390,42.705,42.200,42.690,1132512,38.4590,13.5568,
2016-03-23,43.150,43.210,42.670,42.670,845392,38.4410,13.5505,
2016-03-22,43.000,43.450,43.000,43.250,944321,38.9640,13.7347,
2016-03-21,43.490,43.700,43.430,43.540,693812,39.2250,13.8268,
2016-03-18,43.940,44.000,43.540,43.670,3317021,39.3420,13.8680,
2016-03-17,43.490,43.930,43.340,43.670,2422827,39.3420,13.8680,
2016-03-16,42.060,43.290,41.970,43.210,2408618,38.9280,13.7220,
2016-03-15,42.010,42.070,41.650,42.040,1491406,37.8740,13.3504,
2016-03-14,42.740,42.760,42.150,42.340,1348911,38.1440,13.4457,
2016-03-11,42.440,42.700,42.250,42.660,2467038,38.4320,13.5473,
2016-03-10,41.950,42.250,41.090,41.760,3504856,37.6220,13.2615,
2016-03-09,41.900,42.000,41.620,41.910,1746886,37.7570,13.3091,
2016-03-08,41.940,42.000,41.550,41.610,2306005,37.4860,13.2139,
2016-03-07,42.700,43.000,42.000,42.230,3762441,38.0450,13.4108,
2016-03-04,43.270,43.360,42.810,42.900,1606791,38.6490,13.6235,
2016-03-03,43.030,43.600,42.990,43.420,1441449,39.1170,13.7887,
2016-03-02,42.800,42.970,42.610,42.820,1234983,38.5770,13.5981,
2016-03-01,42.130,42.650,41.950,42.620,1873188,38.3960,13.5346,
2016-02-29,40.990,41.590,40.960,40.970,982317,36.9100,13.0106,
2016-02-26,40.770,40.910,40.530,40.670,1389125,36.6400,12.9154,
2016-02-25,39.750,40.250,39.420,40.170,2025405,36.1890,12.7566,
2016-02-24,39.270,39.880,39.090,39.770,2276908,35.8290,12.6295,
2016-02-23,40.180,40.515,39.400,39.960,1724459,36.0000,12.6899,
2016-02-22,39.840,40.340,39.830,40.150,1900556,36.1710,12.7502,
2016-02-19,39.980,40.267,39.680,39.890,2182236,35.9370,12.6677,
2016-02-18,40.480,40.530,39.720,39.750,1911355,35.8110,12.6232,
